32	40	59	42	27	33	39	0	72	55	75	19	51	13	52	22	68	7	3	17	60	79	71	13	80	63	49	57	40	1	66	76	63	61	36	5	11	15	6	26	7	19	44	68	55	12	25	58	48	29	77	47	46	67	2	43	45	50	35	4	72	37	22	74	38	80	78	54	9	24	17	28	61	65	30	34	15	53	10	70	21	31	
26	71	12	54	47	79	43	1	17	28	69	44	18	15	41	40	13	76	81	29	14	66	31	48	37	50	42	53	55	66	16	20	45	34	78	26	50	38	55	74	5	34	55	25	77	29	3	23	22	2	65	45	72	7	31	19	0	10	10	59	75	33	80	64	4	7	6	63	48	69	73	62	36	66	21	24	9	52	60	38	60	55	
29	65	4	72	2	7	9	44	77	24	12	20	74	21	34	30	15	18	5	25	14	46	79	58	11	40	30	1	9	23	60	37	79	77	48	27	2	69	61	26	5	66	42	0	22	81	51	55	17	53	70	48	32	7	19	56	44	62	57	50	73	52	12	16	66	71	41	68	59	36	32	63	39	64	76	54	75	47	43	38	34	27	
70	72	48	22	41	79	18	32	62	12	17	6	45	0	77	78	5	67	44	30	49	74	29	63	60	46	22	13	74	67	55	1	58	16	24	37	35	41	69	33	74	27	40	35	27	56	52	51	43	13	19	7	4	50	8	2	9	52	15	20	38	65	21	33	3	64	73	58	46	79	11	57	25	54	10	70	26	79	39	66	31	60	
12	52	37	18	54	69	69	66	11	42	72	47	1	75	33	12	50	79	9	4	50	54	53	3	38	15	18	20	23	46	16	35	39	2	77	17	72	8	28	24	59	21	76	79	36	49	9	32	71	21	34	40	79	29	65	63	44	27	26	74	0	41	47	64	43	45	6	62	61	56	7	58	14	24	57	60	78	66	29	68	31	5	
67	60	45	72	63	7	16	81	28	38	76	78	22	64	75	52	42	55	25	73	32	68	10	23	45	35	35	5	48	69	18	40	57	59	20	31	79	37	29	49	1	34	38	23	0	21	3	45	2	50	26	54	26	57	74	80	19	14	4	65	11	43	7	70	6	51	29	32	14	52	71	17	11	41	62	13	61	66	56	77	43	9	
38	56	78	46	54	17	53	80	12	3	35	33	63	60	76	8	5	26	70	6	46	1	39	29	28	27	24	0	45	61	25	81	40	50	43	34	57	32	31	10	36	68	43	40	69	55	65	72	8	73	19	67	17	74	20	50	48	49	64	6	52	30	23	10	78	3	58	75	36	15	2	16	21	62	71	13	40	76	22	65	14	58	
58	28	59	6	7	39	74	76	46	40	31	2	66	48	7	48	45	69	79	48	22	19	31	13	51	3	34	71	73	42	70	65	67	47	75	78	1	3	9	68	51	60	12	56	25	25	18	64	5	14	55	54	56	16	0	19	27	34	29	38	72	16	23	77	81	37	9	24	44	42	30	31	19	41	80	61	62	15	63	11	53	36	
52	11	69	54	47	25	24	14	66	33	34	16	45	48	78	62	79	50	41	20	6	58	69	18	56	72	38	42	12	22	77	81	67	2	79	57	30	23	3	32	68	59	61	36	36	1	40	49	54	4	16	5	7	27	28	7	13	9	44	38	35	71	52	42	74	50	19	15	20	26	59	30	29	63	76	75	65	46	73	64	0	10	
68	32	48	29	38	7	39	6	64	20	72	48	58	63	45	4	33	15	54	16	44	9	22	40	81	0	34	10	61	35	31	73	78	69	27	36	26	53	41	5	65	52	69	62	59	56	67	10	66	45	42	37	51	55	14	69	75	43	1	2	21	45	77	17	56	23	60	73	13	30	28	24	25	18	3	76	10	19	7	80	78	50	
50	72	45	5	62	39	65	6	41	81	69	38	29	47	76	18	60	24	57	4	45	78	30	67	17	43	0	39	60	19	10	51	9	74	53	14	30	37	30	76	55	21	54	26	69	52	44	49	3	41	72	63	59	23	71	75	8	10	35	68	25	65	57	34	55	33	48	15	16	0	26	12	22	7	36	28	78	20	0	80	63	12	
