11	25	12	50	10	33	36	20	1	30	63	43	46	18	61	56	54	34	2	55	62	44	57	29	17	13	64	8	4	48	52	24	41	38	35	28	22	5	42	58	49	47	45	3	0	37	39	14	15	60	16	7	23	31	27	6	9	40	53	32	19	51	26	59	21
1	23	6	4	61	12	20	13	34	59	22	0	30	9	28	29	21	27	24	38	64	45	49	48	37	60	50	39	63	7	46	44	11	18	47	3	54	26	57	62	51	19	31	33	35	8	58	36	40	15	42	17	53	16	14	55	2	10	41	43	56	32	5	25	52
49	47	50	11	0	36	53	40	30	9	45	24	18	62	21	42	28	25	1	60	39	54	17	13	34	61	20	31	12	48	44	59	63	56	51	4	32	29	64	57	37	43	58	52	26	6	19	14	35	8	15	5	41	55	7	16	3	10	33	23	38	46	27	22	2
62	61	36	18	1	41	50	32	57	56	40	54	20	8	34	26	28	25	23	44	43	11	14	13	46	31	42	39	4	60	12	6	24	63	9	2	59	17	10	45	7	51	5	64	27	38	21	15	49	58	29	16	30	35	48	55	0	53	22	52	47	37	33	3	19
20	45	46	48	15	34	38	32	47	53	5	6	63	43	12	60	59	39	37	13	62	42	19	30	25	9	21	33	26	49	31	4	29	1	28	17	50	55	36	44	3	57	27	7	14	35	23	56	2	8	22	0	58	24	16	54	61	64	11	52	40	51	10	41	18
24	63	31	45	16	49	11	58	19	32	0	54	57	56	64	3	53	5	6	37	29	36	52	59	2	25	8	62	48	18	9	12	14	61	21	15	43	35	41	33	4	60	17	51	23	26	39	30	28	1	47	55	46	7	27	50	13	38	44	20	22	34	40	10	42
58	20	59	61	13	0	9	26	6	19	63	31	12	60	64	37	32	52	5	23	38	44	40	2	53	62	14	24	11	27	41	18	49	35	16	47	45	36	42	39	50	51	17	57	21	8	4	43	30	15	10	56	34	55	28	48	3	1	54	29	22	25	46	7	33
56	4	57	48	34	31	13	55	25	17	42	29	61	51	27	38	40	20	36	50	32	0	60	30	58	43	21	37	54	8	35	63	33	18	16	44	23	12	1	11	15	2	53	52	7	46	19	6	49	24	39	22	64	9	14	41	5	62	10	3	28	26	59	47	45
36	33	64	4	39	56	19	48	26	45	31	41	52	53	23	8	54	60	47	7	46	40	21	37	42	62	27	9	14	59	44	0	10	5	29	55	35	25	18	50	57	22	16	11	51	13	58	24	32	3	1	61	49	2	12	20	63	15	6	34	38	30	28	43	17
19	38	57	5	48	22	14	43	30	0	26	13	51	40	10	15	4	55	3	46	39	16	61	64	59	37	9	50	49	18	42	52	32	1	44	20	34	35	47	31	36	41	63	21	8	56	17	23	62	29	6	58	2	45	12	11	33	53	24	7	28	25	60	27	54
6	20	35	32	59	52	18	43	10	57	63	61	45	29	7	8	2	23	47	0	64	33	51	16	27	26	15	21	42	54	58	30	24	50	46	14	1	60	55	25	53	56	17	4	28	22	44	62	5	39	37	34	38	9	41	49	13	11	40	31	12	48	19	36	3
