1	69	66	46	35	45	56	27	65	52	28	41	37	40	61	29	25	33	17	26	13	39	4	62	54	64	42	21	70	11	4	19	10	14	15	59	67	6	16	7	62	57	68	44	31	9	23	0	55	52	38	2	30	59	12	32	48	8	47	48	17	3	23	42	22	36	50	33	58	20	51	70	
9	52	64	54	10	18	58	70	2	33	2	37	22	39	63	27	43	62	29	7	68	46	71	41	36	52	17	22	5	0	22	14	4	16	1	15	38	8	35	48	51	47	10	21	12	22	44	50	13	67	56	32	56	54	61	19	60	28	42	66	30	6	31	33	26	45	59	69	49	20	64	40	
69	24	62	28	48	52	10	1	44	16	53	28	21	58	66	11	5	35	5	31	60	36	7	22	8	13	20	3	38	31	44	55	58	46	23	26	34	38	51	0	67	19	54	14	70	61	27	3	16	31	57	18	9	64	41	36	71	2	41	56	40	25	48	15	11	67	63	47	48	30	65	41	
61	48	50	59	30	5	10	67	52	67	7	6	0	42	34	0	69	20	44	24	59	18	54	14	28	41	55	3	18	63	36	26	40	16	20	23	38	53	16	37	43	44	46	65	39	32	65	34	2	57	71	9	24	4	27	56	70	33	62	13	29	51	63	22	14	31	47	58	12	11	48	8	
68	52	8	42	31	1	8	37	14	24	64	43	48	24	54	45	6	62	3	61	43	71	33	63	38	6	69	58	46	52	12	40	23	18	22	55	39	49	30	65	67	19	36	41	60	27	28	11	15	34	66	56	31	24	59	8	51	57	2	17	47	16	70	13	50	19	3	29	5	35	21	0	
60	61	52	62	7	18	0	21	49	66	16	22	28	3	29	20	0	30	35	39	67	50	47	32	9	55	63	17	26	5	33	39	2	37	30	15	68	54	64	46	47	11	18	26	36	4	58	38	42	44	9	56	25	7	23	64	13	33	11	51	69	57	23	14	45	6	58	43	71	53	39	70	
20	71	35	63	7	43	50	68	15	69	55	66	33	31	61	54	1	23	39	15	33	11	40	9	22	26	56	46	29	29	44	49	28	6	59	50	60	44	48	8	57	53	4	19	12	64	17	32	40	3	47	0	13	36	10	58	61	67	27	42	25	14	17	4	38	21	2	23	65	50	36	69	
29	49	17	64	66	33	22	25	37	20	26	2	52	40	5	63	39	27	24	13	68	69	30	27	37	34	57	46	32	21	44	1	6	12	67	3	70	36	31	51	59	15	53	62	59	7	4	42	56	49	64	53	47	41	19	35	11	9	18	45	47	0	70	57	13	10	8	23	43	61	16	55	
14	21	43	0	30	6	42	19	51	56	9	49	35	27	24	70	46	36	67	32	54	64	27	23	25	45	47	7	38	4	12	5	22	53	20	67	58	69	18	64	10	34	43	37	15	8	54	61	62	52	29	49	1	1	11	26	71	58	38	58	16	47	62	41	57	17	40	3	30	13	66	32	
58	41	28	2	70	15	62	59	20	36	45	35	53	3	11	53	64	49	47	26	50	39	1	42	6	61	62	33	21	57	16	14	52	38	32	5	7	31	68	29	19	60	12	8	71	24	66	12	10	43	34	65	37	50	56	43	0	55	30	22	68	45	48	3	24	18	8	40	67	27	23	17	
22	40	46	21	62	45	37	14	42	0	12	30	4	26	28	6	33	58	46	50	39	31	55	4	66	3	57	64	35	26	31	69	61	1	16	54	51	71	65	36	15	29	59	24	52	10	46	25	13	19	68	67	53	63	17	44	70	17	56	46	43	9	60	34	11	6	8	2	22	19	38	41	
51	45	7	44	57	55	63	15	71	3	10	67	69	32	58	14	51	39	0	20	50	63	66	1	16	70	9	38	40	60	21	31	33	27	11	30	1	18	41	23	22	49	34	16	18	13	27	5	62	45	24	53	36	12	55	48	29	3	25	5	65	43	35	37	60	42	59	7	54	26	47	68	
10	70	22	37	21	61	43	12	28	6	6	58	15	55	47	52	5	65	57	66	28	32	25	35	14	27	55	63	70	24	2	3	41	44	60	64	36	32	20	13	40	26	17	0	32	67	1	39	9	11	49	38	42	23	17	53	54	6	67	50	48	16	4	19	62	69	30	45	45	50	59	31	
25	24	32	65	20	52	46	26	64	44	17	48	2	34	52	60	59	47	62	41	15	14	10	9	11	40	70	1	42	8	33	71	30	67	11	0	68	5	29	61	49	66	55	54	44	43	63	35	37	68	22	49	13	28	5	37	18	4	39	57	23	2	5	55	19	26	58	16	51	36	21	31	
